Title,Studio,Genre,Year,Gross,PercentDomestic,Rotten,IMDB,Rating,Days,Budget
Taken 2,Fox,Action/Adventure,2012,376100000,0.372,21,6.2,PG-13,140,45
Batman Begins,WB,Action/Adventure,2005,374200000,0.553,85,8.3,PG-13,142,150
What Women Want,Par.,Comedy,2000,374100000,0.489,54,6.3,PG-13,112,70
The Adventures of Tintin,Par.,Animation,2011,374000000,0.207,75,7.4,PG,93,130
X-Men Origins: Wolverine,Fox,Action/Adventure,2009,373100000,0.482,38,6.7,PG-13,154,150
G.I. Joe: Retaliation,Par.,Action/Adventure,2013,371800000,0.329,28,6.1,PG-13,103,130
Terminator Salvation,WB,Action/Adventure,2009,371400000,0.337,33,6.7,PG-13,113,200
There's Something About Mary,Fox,Comedy,1998,369900000,0.477,83,7.1,R,137,23
The Fugitive,WB,Action/Adventure,1993,368900000,0.498,94,7.8,PG-13,147,40
Jurassic Park III,Uni.,Action/Adventure,2001,368800000,0.491,49,5.8,PG-13,156,93
Captain America: The First Avenger,Par.,Action/Adventure,2011,368600000,0.479,79,6.8,PG-13,112,140
Hitch,Sony,Comedy,2005,368100000,0.488,69,6.6,PG-13,119,70
Die Hard: With A Vengeance,Fox,Action/Adventure,1995,366100000,0.273,52,7.5,R,126,90
Notting Hill,Uni.,Comedy,1999,363900000,0.319,83,6.9,PG-13,135,42
Fast and Furious,Uni.,Action/Adventure,2009,363200000,0.427,27,6.5,PG-13,91,85
Ocean's Twelve,WB,Action/Adventure,2004,362700000,0.346,55,6.3,PG-13,105,110
Planet of the Apes (2001),Fox,Action/Adventure,2001,362200000,0.497,45,5.6,PG-13,115,100
Alvin and the Chipmunks,Fox,Animation,2007,361300000,0.601,26,5.2,PG,175,60
The Karate Kid,Sony,Action/Adventure,2010,359100000,0.492,66,6.2,PG,105,40
Home Alone 2: Lost in New York,Fox,Comedy,1992,359000000,0.484,24,6.2,PG,101,18
Minority Report,Fox,Action/Adventure,2002,358400000,0.369,92,7.2,PG-13,132,102
Top Gun,Par.,Action/Adventure,1986,356800000,0.504,55,6.7,PG,177,15
Apollo 13,Uni.,Drama,1995,355200000,0.489,88,7.5,PG,177,62
X-Men: First Class,Fox,Action/Adventure,2011,353600000,0.414,88,7.8,PG-13,119,160
Speed,Fox,Action/Adventure,1994,350400000,0.346,90,7.2,R,189,30
Deep Impact,Par.,Action/Adventure,1998,349500000,0.402,47,6,PG-13,119,75
Dr. Seuss' The Lorax,Uni.,Animation,2012,348800000,0.614,54,6.3,PG,147,70
"I, Robot",Fox,Action/Adventure,2004,347200000,0.417,58,7,PG-13,168,120
Hotel Transylvania,Sony,Animation,2012,346900000,0.428,43,7,PG,144,85
How the Grinch Stole Christmas,Uni.,Comedy,2000,345100000,0.753,53,5.8,PG,105,123
The Flintstones,Uni.,Comedy,1994,341600000,0.382,22,4.7,PG,157,46
Wanted,Uni.,Action/Adventure,2008,341400000,0.394,71,6.7,R,83,75
Batman Forever,WB,Action/Adventure,1995,336500000,0.547,41,5.4,PG-13,147,100
Journey 2: The Mysterious Island,WB,Action/Adventure,2012,335300000,0.31,42,5.7,PG,140,79
The Curious Case of Benjamin Button,Par.,Drama,2008,333900000,0.382,73,7.8,PG-13,120,150
Indiana Jones and the Temple of Doom,Par.,Action/Adventure,1984,333100000,0.54,85,7.6,PG,144,28
Back to the Future Part II,Uni.,Action/Adventure,1989,332000000,0.357,64,7.7,PG,134,40
